,Code,Item,Quantity,Address,Start date,End date
0,GEM/2019/B/246461,Laptop-Notebook,10,"Pmo
Department Of Atomic Energy
Directorate Of Purchase And Stores N/a",04-06-2019 06:05 PM,12-06-2019 04:00 PM
1,GEM/2019/B/250167,T - Shirt Round Neck Disruptive Pattern - MHA,300,"Ministry Of Defence
N/a
39 Rashtriya Rifles Indian Army",05-06-2019 01:15 PM,12-06-2019 04:00 PM
2,GEM/2019/B/250170,Hot And Cold Air Conditioners,7,"Ministry Of Power
Na
Nhpc Ltd N/a",05-06-2019 01:12 PM,12-06-2019 04:00 PM
3,GEM/2019/B/250177,"Package No. 1 - ATAL TINKERING LAB OF NITI AAYOG ELECTRONICS DEVELOPMENT, ROBOTICS, INTERNET OF THI",1,"Niti Aayog - National Institution For Transforming India
Na
India N/a",05-06-2019 01:26 PM,12-06-2019 04:00 PM
4,GEM/2019/B/244594,Desktop Computers,12,"Ministry Of Defence
N/a
1corps Dental Unit Indian Army",29-05-2019 01:57 PM,12-06-2019 04:00 PM
5,GEM/2019/B/250181,Package No.2: ATAL TINKERING LAB OF NITI AAYOG RAPID PROTOTYPING TOOLS,1,"Niti Aayog - National Institution For Transforming India
Na
India N/a",05-06-2019 01:34 PM,12-06-2019 04:00 PM
6,GEM/2019/B/250186,"Package No.3 ATAL TINKERING LAB OF NITI AAYOG MECHANICAL, ELECTRICAL And MEASUREMENT TOOLS",1,"Niti Aayog - National Institution For Transforming India
Na
India N/a",05-06-2019 01:42 PM,12-06-2019 04:00 PM
7,GEM/2019/RA/9426,E Cart For Garbage With Tipping Facility,5,"Uttar Pradesh
Urban Development Department Uttar Pradesh
Nagar Panchayat Purdil Nagar E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of Uttar Pradesh",10-06-2019 04:10 PM,12-06-2019 04:00 PM
8,GEM/2019/B/250190,Package No. 4 - Atal Tinkering Lab OF NITI AAYOG POWER SUPPLY AND ACCESSORIES AND SAFETY EQUIPMENT,1,"Niti Aayog - National Institution For Transforming India
Na
India N/a",05-06-2019 01:51 PM,12-06-2019 04:00 PM
9,GEM/2019/B/249728,Cotton And Nylon Blue Airmail Bag,20000,"Ministry Of Communications
Department Of Posts
110001 Department Of Posts",04-06-2019 04:42 PM,12-06-2019 04:00 PM
